,Connected to robot,Number of exit queues,Transfer amount to CS,Total handle robot,Robot handle ratio,Robot actual completion ratio,Robot Success ratio,Date
474,18446,3,6807,11639,63.1,63.08,63.08,2023-09-06
475,18002,14,6678,11324,62.9,62.83,62.83,2023-09-07
476,17650,0,6505,11145,63.14,63.14,63.14,2023-09-08
477,16655,0,6097,10558,63.39,63.39,63.39,2023-09-09
478,16524,0,6076,10448,63.23,63.23,63.23,2023-09-10
479,19473,269,8342,11131,57.16,55.78,55.78,2023-09-11
480,16715,4,6717,9998,59.81,59.79,59.79,2023-09-12
481,16647,4,7120,9527,57.23,57.21,57.21,2023-09-13
482,16479,4,6668,9811,59.54,59.51,59.51,2023-09-14
483,16241,0,6220,10021,61.7,61.7,61.7,2023-09-15
484,15139,0,5640,9499,62.75,62.75,62.75,2023-09-16
485,14532,0,5443,9089,62.54,62.54,62.54,2023-09-17
486,16145,0,6072,10073,62.39,62.39,62.39,2023-09-18
487,15861,0,6076,9785,61.69,61.69,61.69,2023-09-19
488,16661,0,6183,10478,62.89,62.89,62.89,2023-09-20
489,16605,0,6454,10151,61.13,61.13,61.13,2023-09-21
490,15419,0,5934,9485,61.52,61.52,61.52,2023-09-22
491,15238,0,6048,9190,60.31,60.31,60.31,2023-09-23
492,14573,0,5285,9288,63.73,63.73,63.73,2023-09-24
493,23078,308,8915,14163,61.37,60.04,60.04,2023-09-25
494,23115,162,8847,14268,61.73,61.03,61.03,2023-09-26
495,20655,105,8093,12562,60.82,60.31,60.31,2023-09-27
496,18573,83,7277,11296,60.82,60.37,60.37,2023-09-28
497,19941,128,7790,12151,60.93,60.3,60.3,2023-09-29
498,19398,56,7373,12025,61.99,61.71,61.71,2023-09-30
499,19872,148,7497,12375,62.27,61.53,61.53,2023-10-01
500,21545,113,8558,12987,60.28,59.76,59.76,2023-10-02
501,20667,304,7770,12897,62.4,60.93,60.93,2023-10-03
502,18614,129,6991,11623,62.44,61.75,61.75,2023-10-04
503,19155,54,7271,11884,62.04,61.77,61.77,2023-10-05
504,18101,43,6895,11206,61.91,61.67,61.67,2023-10-06
505,15582,34,5985,9597,61.59,61.38,61.38,2023-10-07
506,15031,9,5560,9471,63.01,62.95,62.95,2023-10-08
507,16336,23,6180,10156,62.17,62.03,62.03,2023-10-09
508,18388,14,7182,11206,60.94,60.87,60.87,2023-10-10
509,18004,24,7180,10824,60.12,59.99,59.99,2023-10-11
510,17139,0,6800,10339,60.32,60.32,60.32,2023-10-12
511,15446,18,5947,9499,61.5,61.39,61.39,2023-10-13
512,14543,0,5502,9041,62.17,62.17,62.17,2023-10-14
513,14556,0,5580,8976,61.67,61.67,61.67,2023-10-15
514,16786,5,6730,10056,59.91,59.88,59.88,2023-10-16
515,15533,0,6062,9471,60.97,60.97,60.97,2023-10-17
516,15014,0,5749,9265,61.71,61.71,61.71,2023-10-18
517,16950,26,6627,10323,60.9,60.75,60.75,2023-10-19
518,16241,0,6705,9536,58.72,58.72,58.72,2023-10-20
519,16444,63,6679,9765,59.38,59.0,59.0,2023-10-21
520,14266,0,5558,8708,61.04,61.04,61.04,2023-10-22
521,16307,13,6555,9752,59.8,59.72,59.72,2023-10-23
522,16823,6,7020,9803,58.27,58.24,58.24,2023-10-24
523,20753,190,8464,12289,59.22,58.3,58.3,2023-10-25
524,22101,117,8930,13171,59.59,59.07,59.07,2023-10-26
525,25273,75,9334,15939,63.07,62.77,62.77,2023-10-27
526,18435,89,7333,11102,60.22,59.75,59.75,2023-10-28
527,16746,15,6955,9791,58.47,58.38,58.38,2023-10-29
528,17428,16,7148,10280,58.99,58.89,58.89,2023-10-30
529,19235,41,7957,11278,58.63,58.42,58.42,2023-10-31
530,20770,151,8561,12209,58.78,58.06,58.06,2023-11-01
531,19776,60,8246,11530,58.3,58.0,58.0,2023-11-02
532,17374,59,7043,10331,59.46,59.12,59.12,2023-11-03
533,14822,14,6026,8796,59.34,59.26,59.26,2023-11-04
534,14877,109,6081,8796,59.12,58.4,58.4,2023-11-05
535,16308,12,6515,9793,60.05,59.98,59.98,2023-11-06
536,16033,6,6463,9570,59.69,59.65,59.65,2023-11-07
537,14994,19,6172,8822,58.84,58.71,58.71,2023-11-08
538,15876,118,6418,9458,59.57,58.83,58.83,2023-11-09
539,14887,10,6029,8858,59.5,59.43,59.43,2023-11-10
540,15122,17,6076,9046,59.82,59.73,59.73,2023-11-11
541,13246,6,5096,8150,61.53,61.48,61.48,2023-11-12
542,14165,1,5675,8490,59.94,59.93,59.93,2023-11-13
543,13524,0,5484,8040,59.45,59.45,59.45,2023-11-14
544,13895,10,5793,8102,58.31,58.24,58.24,2023-11-15
545,14130,12,5688,8442,59.75,59.66,59.66,2023-11-16
546,16117,191,6143,9974,61.88,60.7,60.7,2023-11-17
547,14554,35,5730,8824,60.63,60.39,60.39,2023-11-18
548,12463,11,4926,7537,60.48,60.39,60.39,2023-11-19
549,16730,5,6519,10211,61.03,61.0,61.0,2023-11-20
550,15510,11,6254,9256,59.68,59.61,59.61,2023-11-21
551,14916,15,6743,8173,54.79,54.69,54.69,2023-11-22
552,15457,4,6215,9242,59.79,59.77,59.77,2023-11-23
553,15976,4,6204,9772,61.17,61.14,61.14,2023-11-24
554,16382,2,6063,10319,62.99,62.98,62.98,2023-11-25
555,15105,2,5471,9634,63.78,63.77,63.77,2023-11-26
556,15891,10,5908,9983,62.82,62.76,62.76,2023-11-27
557,16245,6,5966,10279,63.27,63.24,63.24,2023-11-28
558,15710,0,5777,9933,63.23,63.23,63.23,2023-11-29
559,19692,105,7110,12582,63.89,63.37,63.37,2023-11-30
560,20282,289,7335,12947,63.83,62.41,62.41,2023-12-01
561,16370,12,5928,10442,63.79,63.71,63.71,2023-12-02
562,15120,11,5651,9469,62.63,62.55,62.55,2023-12-03
563,18315,9,6702,11613,63.41,63.36,63.36,2023-12-04
564,16954,21,6354,10600,62.52,62.4,62.4,2023-12-05
565,16344,8,6337,10007,61.23,61.18,61.18,2023-12-06
566,15538,16,6075,9463,60.9,60.8,60.8,2023-12-07
567,15344,3,6131,9213,60.04,60.02,60.02,2023-12-08
568,13398,3,5060,8338,62.23,62.21,62.21,2023-12-09
569,14514,6,5411,9103,62.72,62.68,62.68,2023-12-10
570,16336,43,6160,10176,62.29,62.03,62.03,2023-12-11
571,15327,4,5651,9676,63.13,63.11,63.11,2023-12-12
572,14762,25,5425,9337,63.25,63.08,63.08,2023-12-13
573,14244,5,5442,8802,61.79,61.76,61.76,2023-12-14
574,14020,0,5386,8634,61.58,61.58,61.58,2023-12-15
575,13239,3,4946,8293,62.64,62.62,62.62,2023-12-16
576,12073,0,4434,7639,63.27,63.27,63.27,2023-12-17
577,14033,11,5294,8739,62.27,62.2,62.2,2023-12-18
578,13539,7,4978,8561,63.23,63.18,63.18,2023-12-19
579,14119,5,5301,8818,62.45,62.42,62.42,2023-12-20
580,13808,21,5170,8638,62.56,62.41,62.41,2023-12-21
581,13908,99,5180,8728,62.76,62.05,62.05,2023-12-22
582,14181,33,5460,8721,61.5,61.27,61.27,2023-12-23
583,13307,37,4991,8316,62.49,62.22,62.22,2023-12-24
584,14928,23,5603,9325,62.47,62.32,62.32,2023-12-25
585,16624,43,6521,10103,60.77,60.51,60.51,2023-12-26
586,15663,18,5887,9776,62.41,62.31,62.31,2023-12-27
587,16620,28,6511,10109,60.82,60.66,60.66,2023-12-28
588,16659,83,6357,10302,61.84,61.35,61.35,2023-12-29
589,15241,60,5756,9485,62.23,61.84,61.84,2023-12-30
590,13206,6,4955,8251,62.48,62.43,62.43,2023-12-31
591,15343,21,5637,9706,63.26,63.12,63.12,2024-01-01
592,18680,209,6823,11857,63.47,62.36,62.36,2024-01-02
593,17443,64,6444,10999,63.06,62.69,62.69,2024-01-03
594,16577,33,6462,10115,61.02,60.82,60.82,2024-01-04
595,17281,186,6564,10717,62.02,60.95,60.95,2024-01-05
596,17877,344,6055,11822,66.13,64.21,64.21,2024-01-06
597,14580,58,5333,9247,63.42,63.02,63.02,2024-01-07
598,15414,47,5978,9436,61.22,60.92,60.92,2024-01-08
599,15129,16,5840,9289,61.4,61.29,61.29,2024-01-09
600,16467,55,6247,10220,62.06,61.74,61.74,2024-01-10
601,16272,18,6290,9982,61.34,61.23,61.23,2024-01-11
602,14498,35,5359,9139,63.04,62.79,62.79,2024-01-12
603,15209,16,5825,9384,61.7,61.6,61.6,2024-01-13
604,14553,58,5648,8905,61.19,60.81,60.81,2024-01-14
605,14991,19,5659,9332,62.25,62.13,62.13,2024-01-15
606,14963,2,5618,9345,62.45,62.44,62.44,2024-01-16
607,14800,58,5610,9190,62.09,61.7,61.7,2024-01-17
608,14910,13,5453,9457,63.43,63.35,63.35,2024-01-18
609,14277,25,5261,9016,63.15,62.98,62.98,2024-01-19
610,13750,60,5036,8714,63.37,62.94,62.94,2024-01-20
611,13115,11,4635,8480,64.66,64.57,64.57,2024-01-21
612,13917,23,5204,8713,62.61,62.44,62.44,2024-01-22
613,13587,10,5097,8490,62.49,62.41,62.41,2024-01-23
614,13572,21,5103,8469,62.4,62.25,62.25,2024-01-24
615,18332,751,7076,11256,61.4,57.32,57.32,2024-01-25
616,20485,1020,9113,11372,55.51,50.54,50.54,2024-01-26
617,17160,985,8030,9130,53.21,47.47,47.47,2024-01-27
618,15411,878,7323,8088,52.48,46.8,46.8,2024-01-28
619,18770,1231,8591,10179,54.23,47.7,47.69,2024-01-29
620,16315,300,7616,8699,53.32,51.49,51.49,2024-01-30
621,19560,951,8433,11127,56.89,52.04,52.04,2024-01-31
622,20263,954,8601,11662,57.55,52.87,52.86,2024-02-01
623,25518,1458,10011,15507,60.77,55.06,55.05,2024-02-02
624,17036,555,6501,10535,61.84,58.58,58.58,2024-02-03
625,14061,246,5422,8639,61.44,59.69,59.69,2024-02-04
626,16483,326,6589,9894,60.03,58.05,58.05,2024-02-05
627,15730,234,6375,9355,59.47,58.0,58.0,2024-02-06
628,15004,167,6049,8955,59.68,58.59,58.59,2024-02-07
629,14258,42,5839,8419,59.05,58.77,58.77,2024-02-08
630,14267,76,5770,8497,59.56,59.02,59.02,2024-02-09
631,13523,48,5458,8065,59.64,59.28,59.28,2024-02-10
632,13453,47,5485,7968,59.23,58.89,58.89,2024-02-11
633,14017,70,5670,8347,59.55,59.05,59.04,2024-02-12
634,12410,8,5112,7298,58.81,58.74,58.74,2024-02-13
635,9870,40,4094,5776,58.52,58.12,58.12,2024-02-14
636,11868,30,5062,6806,57.35,57.09,57.09,2024-02-15
637,13086,10,5599,7487,57.21,57.14,57.14,2024-02-16
638,13582,77,5457,8125,59.82,59.25,59.25,2024-02-17
639,13458,112,5481,7977,59.27,58.45,58.45,2024-02-18
640,14505,5,5772,8733,60.21,60.18,60.18,2024-02-19
641,15837,19,6151,9686,61.16,61.05,61.05,2024-02-20
642,14650,54,5930,8720,59.52,59.15,59.15,2024-02-21
643,13340,26,5508,7832,58.71,58.52,58.52,2024-02-22
644,13845,43,5511,8334,60.2,59.89,59.89,2024-02-23
645,13909,38,5622,8287,59.58,59.31,59.31,2024-02-24
646,15063,245,5944,9119,60.54,58.92,58.92,2024-02-25
647,16268,226,6459,9809,60.3,58.91,58.91,2024-02-26
648,15478,43,6424,9054,58.5,58.22,58.22,2024-02-27
649,17539,178,6852,10687,60.93,59.92,59.92,2024-02-28
650,18932,727,7250,11682,61.71,57.87,57.87,2024-02-29
651,18679,559,7497,11182,59.86,56.88,56.88,2024-03-01
652,16276,486,6426,9850,60.52,57.55,57.55,2024-03-02
653,14468,164,5825,8643,59.74,58.61,58.61,2024-03-03
654,16069,207,6446,9623,59.89,58.6,58.6,2024-03-04
655,16174,227,6402,9772,60.42,59.01,59.01,2024-03-05
656,15185,205,6486,8699,57.29,55.96,55.96,2024-03-06
657,14408,181,6441,7967,55.3,54.05,54.05,2024-03-07
658,14631,125,6572,8059,55.08,54.23,54.23,2024-03-08
659,13554,80,6101,7453,54.99,54.4,54.4,2024-03-09
660,13914,241,5953,7961,57.22,55.48,55.48,2024-03-10
661,14600,23,6703,7897,54.09,53.94,53.94,2024-03-11
662,12435,3,5594,6841,55.01,54.99,54.99,2024-03-12
663,12858,68,5886,6972,54.22,53.69,53.69,2024-03-13
664,13655,43,5920,7735,56.65,56.34,56.34,2024-03-14
665,14778,73,6994,7784,52.67,52.18,52.18,2024-03-15
666,13902,60,6361,7541,54.24,53.81,53.81,2024-03-16
667,14123,140,6485,7638,54.08,53.09,53.09,2024-03-17
668,13710,52,6231,7479,54.55,54.18,54.18,2024-03-18
669,13846,108,6109,7737,55.88,55.1,55.1,2024-03-19
670,14400,238,6300,8100,56.25,54.6,54.6,2024-03-20
671,14785,53,7055,7730,52.28,51.92,51.92,2024-03-21
672,13477,103,6172,7305,54.2,53.44,53.44,2024-03-22
673,14101,134,6708,7393,52.43,51.49,51.49,2024-03-23
674,12780,79,5808,6972,54.55,53.94,53.94,2024-03-24
675,16913,539,7864,9049,53.5,50.32,50.32,2024-03-25
676,15684,31,7716,7968,50.8,50.61,50.61,2024-03-26
677,15549,79,7597,7952,51.14,50.63,50.63,2024-03-27
678,16417,129,7540,8877,54.07,53.29,53.29,2024-03-28
679,15018,78,7154,7864,52.36,51.85,51.85,2024-03-29
680,15575,87,7515,8060,51.75,51.21,51.21,2024-03-30
681,13263,4,5891,7372,55.58,55.55,55.55,2024-03-31
682,17303,1033,7172,10131,58.55,52.58,52.58,2024-04-01
683,17956,1084,7693,10263,57.16,51.13,51.13,2024-04-02
684,15972,788,6952,9020,56.47,51.55,51.55,2024-04-03
685,15077,693,6656,8421,55.85,51.26,51.26,2024-04-04
686,14597,791,6244,8353,57.22,51.81,51.81,2024-04-05
687,13239,305,5815,7424,56.08,53.78,53.78,2024-04-06
688,11384,107,5024,6360,55.87,54.93,54.93,2024-04-07
689,11594,129,5072,6522,56.25,55.14,55.14,2024-04-08
690,10200,139,4452,5748,56.35,54.99,54.99,2024-04-09
691,7054,62,3074,3980,56.42,55.56,55.56,2024-04-10
692,8214,170,3582,4632,56.39,54.35,54.35,2024-04-11
693,10690,142,4886,5804,54.29,52.97,52.97,2024-04-12
694,10700,113,4874,5826,54.45,53.39,53.39,2024-04-13
695,10402,154,4689,5713,54.92,53.44,53.44,2024-04-14
696,11944,331,5388,6556,54.89,52.12,52.12,2024-04-15
697,12585,273,5595,6990,55.54,53.4,53.4,2024-04-16
698,12962,336,5887,7075,54.58,51.99,51.99,2024-04-17
699,12907,177,5852,7055,54.66,53.29,53.29,2024-04-18
700,12954,359,5927,7027,54.25,51.48,51.48,2024-04-19
701,12771,314,5710,7061,55.29,52.83,52.83,2024-04-20
702,11389,168,5071,6318,55.47,54.0,54.0,2024-04-21
703,12796,223,5907,6889,53.84,52.1,52.1,2024-04-22
704,12482,174,5861,6621,53.04,51.65,51.65,2024-04-23
705,13015,73,6076,6939,53.32,52.76,52.76,2024-04-24
706,15961,238,7397,8564,53.66,52.16,52.16,2024-04-25
707,16242,410,7481,8761,53.94,51.42,51.42,2024-04-26
708,13541,134,6531,7010,51.77,50.78,50.78,2024-04-27
709,12872,58,6360,6512,50.59,50.14,50.14,2024-04-28
710,14341,347,6636,7705,53.73,51.33,51.33,2024-04-29
711,17792,998,7587,10205,57.36,51.75,51.75,2024-04-30
712,20835,1402,9077,11758,56.43,49.71,49.71,2024-05-01
713,20337,1148,9107,11230,55.22,49.57,49.57,2024-05-02
714,17121,863,7790,9331,54.5,49.47,49.46,2024-05-03
715,15213,609,6996,8217,54.01,50.03,50.03,2024-05-04
716,14486,199,6941,7545,52.08,50.72,50.72,2024-05-05
717,15217,456,6971,8246,54.19,51.21,51.21,2024-05-06
718,14317,207,6717,7600,53.08,51.64,51.64,2024-05-07
719,14499,342,6836,7663,52.85,50.51,50.51,2024-05-08
720,13853,205,6458,7395,53.38,51.92,51.92,2024-05-09
721,15122,233,7005,8117,53.68,52.14,52.14,2024-05-10
722,15009,193,7172,7837,52.22,50.93,50.93,2024-05-11
723,13971,204,6646,7325,52.43,50.97,50.97,2024-05-12
724,14397,113,6924,7473,51.91,51.12,51.11,2024-05-13
725,14044,118,6609,7435,52.94,52.11,52.11,2024-05-14
726,13938,232,6425,7513,53.9,52.25,52.25,2024-05-15
727,14412,275,6596,7816,54.23,52.32,52.32,2024-05-16
728,13298,176,6168,7130,53.62,52.29,52.29,2024-05-17
729,12979,139,6053,6926,53.36,52.31,52.31,2024-05-18
730,12807,147,6037,6770,52.86,51.71,51.71,2024-05-19
731,14249,250,6980,7269,51.01,49.27,49.26,2024-05-20
732,14529,340,7472,7057,48.57,46.24,46.24,2024-05-21
733,13811,265,7063,6748,48.86,46.95,46.95,2024-05-22
734,12854,35,6439,6415,49.91,49.63,49.63,2024-05-23
735,13367,69,6644,6723,50.3,49.78,49.78,2024-05-24
736,14802,69,7396,7406,50.03,49.57,49.57,2024-05-25
737,14625,139,7443,7182,49.11,48.16,48.16,2024-05-26
738,15272,194,7755,7517,49.22,47.96,47.95,2024-05-27
739,15711,134,7804,7907,50.33,49.48,49.48,2024-05-28
740,15117,189,7577,7540,49.88,48.64,48.63,2024-05-29
741,14839,152,7520,7319,49.32,48.31,48.3,2024-05-30
742,17213,353,8445,8768,50.94,48.89,48.88,2024-05-31
743,17906,225,8505,9401,52.5,51.26,51.26,2024-06-01
744,16220,247,7856,8364,51.57,50.04,50.04,2024-06-02
745,18142,449,8672,9470,52.2,49.74,49.72,2024-06-03
746,17103,269,8139,8964,52.41,50.84,50.84,2024-06-04
747,16633,116,7807,8826,53.06,52.37,52.37,2024-06-05
748,15850,49,7451,8399,52.99,52.68,52.68,2024-06-06
749,15457,103,7177,8280,53.57,52.91,52.91,2024-06-07
750,14746,14,6904,7842,53.18,53.09,53.09,2024-06-08
751,13920,32,6438,7482,53.75,53.52,53.52,2024-06-09
752,18398,546,9051,9347,50.8,47.85,47.84,2024-06-10
753,18485,465,9987,8498,45.97,43.47,43.46,2024-06-11
754,16796,433,8841,7955,47.36,44.8,44.78,2024-06-12
755,17691,505,9428,8263,46.71,43.88,43.87,2024-06-13
756,15613,117,8071,7542,48.31,47.57,47.57,2024-06-14
757,14657,109,7651,7006,47.8,47.06,47.06,2024-06-15
758,14296,102,7280,7016,49.08,48.37,48.37,2024-06-16
759,12557,111,6523,6034,48.05,47.17,47.16,2024-06-17
760,13914,50,7103,6811,48.95,48.59,48.59,2024-06-18
761,13697,16,6864,6833,49.89,49.77,49.77,2024-06-19
762,14274,49,7336,6938,48.61,48.26,48.26,2024-06-20
763,13475,30,6926,6549,48.6,48.38,48.38,2024-06-21
764,12595,0,6243,6352,50.43,50.43,50.43,2024-06-22
765,11818,0,5936,5882,49.77,49.77,49.77,2024-06-23
766,12934,11,6479,6455,49.91,49.82,49.82,2024-06-24
767,17937,357,8914,9023,50.3,48.32,48.31,2024-06-25
768,16082,148,8450,7632,47.46,46.57,46.57,2024-06-26
769,14561,22,7264,7297,50.11,49.98,49.98,2024-06-27
770,17444,48,8453,8991,51.54,51.27,51.27,2024-06-28
771,14890,118,7381,7509,50.43,49.64,49.64,2024-06-29
772,13728,12,6833,6895,50.23,50.14,50.14,2024-06-30
773,19145,393,9100,10045,52.47,50.43,50.42,2024-07-01
774,18682,187,9220,9462,50.65,49.65,49.65,2024-07-02
775,16188,86,7944,8244,50.93,50.4,50.4,2024-07-03
776,15192,95,7519,7673,50.51,49.89,49.89,2024-07-04
777,15613,112,7555,8058,51.61,50.9,50.89,2024-07-05
778,14064,5,6921,7143,50.79,50.75,50.75,2024-07-06
779,13217,2,6406,6811,51.53,51.52,51.52,2024-07-07
780,14335,16,7186,7149,49.87,49.76,49.76,2024-07-08
781,14096,16,6887,7209,51.14,51.03,51.03,2024-07-09
782,14530,29,7187,7343,50.54,50.34,50.34,2024-07-10
783,13923,0,6863,7060,50.71,50.71,50.71,2024-07-11
784,12778,0,6214,6564,51.37,51.37,51.37,2024-07-12
785,11868,7,5853,6015,50.68,50.62,50.62,2024-07-13
786,10500,0,5139,5361,51.06,51.06,51.06,2024-07-14
787,12738,5,6382,6356,49.9,49.86,49.86,2024-07-15
788,12242,0,6081,6161,50.33,50.33,50.33,2024-07-16
789,12893,2,6308,6585,51.07,51.06,51.06,2024-07-17
790,12962,7,6362,6600,50.92,50.86,50.86,2024-07-18
791,12391,0,6201,6190,49.96,49.96,49.96,2024-07-19
792,11750,0,5817,5933,50.49,50.49,50.49,2024-07-20
793,12017,0,5855,6162,51.28,51.28,51.28,2024-07-21
794,12049,0,5875,6174,51.24,51.24,51.24,2024-07-22
795,11805,0,5834,5971,50.58,50.58,50.58,2024-07-23
796,12050,0,5827,6223,51.64,51.64,51.64,2024-07-24
797,14477,3,6924,7553,52.17,52.15,52.15,2024-07-25
798,14608,6,6978,7630,52.23,52.19,52.19,2024-07-26
799,12357,0,6006,6351,51.4,51.4,51.4,2024-07-27
800,11522,0,5441,6081,52.78,52.78,52.78,2024-07-28
801,13136,0,6212,6924,52.71,52.71,52.71,2024-07-29
802,12728,1,6050,6678,52.47,52.46,52.46,2024-07-30
803,13939,0,6582,7357,52.78,52.78,52.78,2024-07-31
804,15770,4,7338,8432,53.47,53.44,53.44,2024-08-01
805,15057,4,7157,7900,52.47,52.45,52.45,2024-08-02
806,12906,0,6201,6705,51.95,51.95,51.95,2024-08-03
807,11604,3,5488,6116,52.71,52.68,52.68,2024-08-04
808,13560,0,6375,7185,52.99,52.99,52.99,2024-08-05
809,14029,0,6495,7534,53.7,53.7,53.7,2024-08-06
810,12779,0,6099,6680,52.27,52.27,52.27,2024-08-07
811,12507,1,6098,6409,51.24,51.24,51.24,2024-08-08
812,12223,0,5910,6313,51.65,51.65,51.65,2024-08-09
813,12529,6,5883,6646,53.04,53.0,53.0,2024-08-10
814,11926,0,5754,6172,51.75,51.75,51.75,2024-08-11
815,12548,3,6006,6542,52.14,52.11,52.11,2024-08-12
816,11838,0,5635,6203,52.4,52.4,52.4,2024-08-13
817,11284,0,5597,5687,50.4,50.4,50.4,2024-08-14
818,12250,0,5844,6406,52.29,52.29,52.29,2024-08-15
819,11766,0,5578,6188,52.59,52.59,52.59,2024-08-16
820,9444,0,4624,4820,51.04,51.04,51.04,2024-08-17
821,9530,0,4648,4882,51.23,51.23,51.23,2024-08-18
822,11205,0,5454,5751,51.33,51.33,51.33,2024-08-19
823,11692,0,5781,5911,50.56,50.56,50.56,2024-08-20
824,11132,0,5385,5747,51.63,51.63,51.63,2024-08-21
825,11075,2,5372,5703,51.49,51.48,51.48,2024-08-22
826,11436,1,5463,5973,52.23,52.22,52.22,2024-08-23
827,11176,0,5450,5726,51.23,51.23,51.23,2024-08-24
828,12141,7,6017,6124,50.44,50.38,50.38,2024-08-25
829,14331,0,6969,7362,51.37,51.37,51.37,2024-08-26
830,17308,631,7933,9375,54.17,50.52,49.31,2024-08-27
831,30794,3235,13442,17352,56.35,45.84,45.79,2024-08-28
832,12814,0,6238,6576,51.32,51.32,51.32,2024-08-29
833,13087,1,6241,6846,52.31,52.3,52.3,2024-08-30
834,12662,0,5937,6725,53.11,53.11,53.11,2024-08-31
835,13195,3,6380,6815,51.65,51.63,51.63,2024-09-01
836,14897,0,7185,7712,51.77,51.77,51.77,2024-09-02
837,14634,11,7150,7484,51.14,51.07,51.07,2024-09-03
838,13667,6,6643,7024,51.39,51.35,51.35,2024-09-04
839,15926,65,7187,8739,54.87,54.46,54.46,2024-09-05
840,13244,252,6227,7017,52.98,51.08,51.08,2024-09-06
841,11759,0,5710,6049,51.44,51.44,51.44,2024-09-07
842,10379,0,5045,5334,51.39,51.39,51.39,2024-09-08
843,12487,4,6275,6212,49.75,49.72,49.72,2024-09-09
844,12554,11,6327,6227,49.6,49.51,49.51,2024-09-10
845,12604,1,6407,6197,49.17,49.16,49.16,2024-09-11
846,12107,28,6190,5917,48.87,48.64,48.64,2024-09-12
847,11562,14,5796,5766,49.87,49.75,49.75,2024-09-13
848,11746,3,5860,5886,50.11,50.09,50.09,2024-09-14
849,10732,0,5371,5361,49.95,49.95,49.95,2024-09-15
850,11006,0,5611,5395,49.02,49.02,49.02,2024-09-16
851,12349,12,6213,6136,49.69,49.59,49.59,2024-09-17
852,12003,4,6033,5970,49.74,49.7,49.7,2024-09-18
853,11906,1,6085,5821,48.89,48.88,48.88,2024-09-19
854,13038,0,6434,6604,50.65,50.65,50.65,2024-09-20
855,11497,9,5765,5732,49.86,49.78,49.78,2024-09-21
856,10720,23,5345,5375,50.14,49.93,49.93,2024-09-22
857,12097,2,6021,6076,50.23,50.21,50.21,2024-09-23
858,11907,0,5973,5934,49.84,49.84,49.84,2024-09-24
859,15056,63,7463,7593,50.43,50.01,50.01,2024-09-25
860,13947,9,6987,6960,49.9,49.84,49.84,2024-09-26
861,13476,3,6538,6938,51.48,51.46,51.46,2024-09-27
862,12764,0,6173,6591,51.64,51.64,51.64,2024-09-28
863,11355,25,5611,5744,50.59,50.37,50.37,2024-09-29
864,14939,3,7166,7773,52.03,52.01,52.01,2024-09-30
865,20927,282,9678,11249,53.75,52.41,52.41,2024-10-01
866,15922,34,7841,8081,50.75,50.54,50.54,2024-10-02
867,14516,10,7173,7343,50.59,50.52,50.52,2024-10-03
868,13392,15,6528,6864,51.25,51.14,51.14,2024-10-04
869,12612,8,6051,6561,52.02,51.96,51.95,2024-10-05
870,11212,0,5431,5781,51.56,51.56,51.56,2024-10-06
871,12895,1,6427,6468,50.16,50.15,50.15,2024-10-07
872,12311,0,6024,6287,51.07,51.07,51.07,2024-10-08
873,12019,0,6110,5909,49.16,49.16,49.16,2024-10-09
874,12512,0,6387,6125,48.95,48.95,48.95,2024-10-10
875,11574,1,5831,5743,49.62,49.61,49.61,2024-10-11
876,11574,1,5831,5743,49.62,49.61,49.61,2024-10-12
877,9932,0,4979,4953,49.87,49.87,49.87,2024-10-13
878,11029,1,5586,5443,49.35,49.34,49.34,2024-10-14
879,11412,0,5661,5751,50.39,50.39,50.39,2024-10-15
880,11529,0,5741,5788,50.2,50.2,50.2,2024-10-16
881,12142,0,5885,6257,51.53,51.53,51.53,2024-10-17
882,11417,5,5653,5764,50.49,50.44,50.44,2024-10-18
883,11114,2,5298,5816,52.33,52.31,52.31,2024-10-19
884,10467,0,5092,5375,51.35,51.35,51.35,2024-10-20
885,12612,0,6081,6531,51.78,51.78,51.78,2024-10-21
886,12320,0,5700,6620,53.73,53.73,53.73,2024-10-22
887,11865,0,5792,6073,51.18,51.18,51.18,2024-10-23
888,11532,0,5585,5947,51.57,51.57,51.57,2024-10-24
889,14362,11,6848,7514,52.32,52.24,52.24,2024-10-25
890,13158,21,6399,6759,51.37,51.21,51.21,2024-10-26
891,11464,2,5668,5796,50.56,50.54,50.54,2024-10-27
892,13408,4,6451,6957,51.89,51.86,51.86,2024-10-28
893,13011,13,6325,6686,51.39,51.29,51.29,2024-10-29
894,12391,0,5896,6495,52.42,52.42,52.42,2024-10-30
895,13940,26,6648,7292,52.31,52.14,52.14,2024-10-31
896,15922,170,7488,8434,52.97,51.9,51.9,2024-11-01
897,13814,56,6719,7095,51.36,50.96,50.96,2024-11-02
898,12681,1,6025,6656,52.49,52.48,52.48,2024-11-03
899,12951,10,6253,6698,51.72,51.65,51.65,2024-11-04
900,13180,8,6452,6728,51.05,50.99,50.99,2024-11-05
901,12910,3,6209,6701,51.91,51.88,51.88,2024-11-06
902,12481,3,6051,6430,51.52,51.49,51.49,2024-11-07
903,12038,0,5788,6250,51.92,51.92,51.92,2024-11-08
904,12006,34,5819,6187,51.53,51.25,51.25,2024-11-09
905,11083,0,5528,5555,50.12,50.12,50.12,2024-11-10
906,12769,7,6497,6272,49.12,49.06,49.06,2024-11-11
907,11928,12,5964,5964,50.0,49.9,49.9,2024-11-12
908,11375,0,5791,5584,49.09,49.09,49.09,2024-11-13
